artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
"Pollaiuolo, Antonio",0.003919007184846506,"Pollaiuolo, Piero",0.0006531678641410843,0.16666666666666666,7.995296066778632,[240],['273.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Romano, Paolo",0.001959503592423253,"Mino, Maestro (Mino del Regno, or del Reame)",0.0013063357282821686,0.3333333333333333,7.995296066778632,[91],['101.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Pollaiuolo, Piero",0.0006531678641410843,"Pollaiuolo, Antonio",0.003919007184846506,1.0,7.995296066778632,[240],['273.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Mino, Maestro (Mino del Regno, or del Reame)",0.0013063357282821686,"Romano, Paolo",0.001959503592423253,0.5,7.995296066778632,[91],['101.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Vivarino, Luigi",0.0006531678641410843,"Bellini, Gentile",0.003919007184846506,1.0,7.995296066778632,[178],['195.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Tafi, Andrea",0.0045721750489875895,Apollonio,0.0006531678641410843,0.14285714285714288,7.7729036454421845,[49],['73.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Apollonio,0.0006531678641410843,"Tafi, Andrea",0.0045721750489875895,1.0,7.7729036454421845,[49],['73.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Casentino, Jacopo di",0.0045721750489875895,"Daddi, Bernardo",0.0006531678641410843,0.14285714285714288,7.7729036454421845,[25],['15.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Partigiani, Pagno di Lapo",0.0006531678641410843,Michelozzo Michelozzi,0.0045721750489875895,1.0,7.7729036454421845,[270],['249.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Michelozzo Michelozzi,0.0045721750489875895,"Partigiani, Pagno di Lapo",0.0006531678641410843,0.14285714285714288,7.7729036454421845,[270],['249.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Daddi, Bernardo",0.0006531678641410843,"Casentino, Jacopo di",0.0045721750489875895,1.0,7.7729036454421845,[25],['15.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Maiano, Giuliano da",0.0045721750489875895,"Donzello, Polito del",0.0006531678641410843,0.14285714285714288,7.7729036454421845,[14],['14.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Donzello, Polito del",0.0006531678641410843,"Maiano, Giuliano da",0.0045721750489875895,1.0,7.7729036454421845,[14],['14.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Caravaggio, Polidoro da (Polidoro Caldara)",0.0045721750489875895,Maturino,0.0013063357282821686,0.28571428571428575,7.7729036454421845,"[182, 176]","['257.0', '248.0']","['4', '4']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Maturino,0.0013063357282821686,"Caravaggio, Polidoro da (Polidoro Caldara)",0.0045721750489875895,1.0,7.7729036454421845,"[182, 176]","['257.0', '248.0']","['4', '4']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bosch, Hieronymus",0.0006531678641410843,"Bronzino, Agnolo",0.0045721750489875895,1.0,7.7729036454421845,[118],['203.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bronzino, Agnolo",0.0045721750489875895,"Bosch, Hieronymus",0.0006531678641410843,0.14285714285714288,7.7729036454421845,[118],['203.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Pisano, Niccola",0.005225342913128674,Fuccio,0.0006531678641410843,0.125,7.580258567499788,[30],['37.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Margaritone,0.002612671456564337,"Tedesco, Jacopo (Lapo)",0.0013063357282821686,0.25,7.580258567499788,[65],['90.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Fuccio,0.0006531678641410843,"Pisano, Niccola",0.005225342913128674,1.0,7.580258567499788,[30],['37.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Tedesco, Jacopo (Lapo)",0.0013063357282821686,Margaritone,0.002612671456564337,0.5,7.580258567499788,[65],['90.0'],['0'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Claudio, Maestro",0.0013063357282821686,"Marcilla, Guglielmo da (Guillaume de Marcillac)",0.005225342913128674,1.0,7.580258567499788,"[254, 255]","['352.0', '354.0']","['3', '3']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
