s,p,o

<http://www.wikidata.org/entity/Q94797000>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Georg Beck""@en"

<http://www.wikidata.org/entity/Q43016015>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Nikodemus""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://schema.org/name>,"""Giacomo del Duca""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jacopo Ciciliano""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giacomo Del Duca""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jacopo del Duca""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jacopo Siciliano Duca""@en"

<http://www.wikidata.org/entity/Q3762264>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jacopo Siciliano""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ciciliano Duca""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jacopo Del Duca""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jacobo Del Duca""@en"

<http://www.wikidata.org/entity/Q1525753>,<http://schema.org/name>,"""Giovanni Antonio da Brescia""@en"

<http://www.wikidata.org/entity/Q1525753>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Antonio Da Brescia""@en"

<http://www.wikidata.org/entity/Q1525753>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ioan Brixia""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://schema.org/name>,"""Giovanni Francesco Toscani""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://schema.org/description>,"""Italian painter (1372-1430)""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Toscani""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Griggs Master""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Di Francesco Toscani""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni di Francesco Toscani""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of Griggs Crucifixion""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Griggs Crucifixion""@en"

<http://www.wikidata.org/entity/Q3961210>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Toscani""@en"

<http://www.wikidata.org/entity/Q1532355>,<http://schema.org/name>,"""Meister des Schwarzen Stundenbuches""@en"

<http://www.wikidata.org/entity/Q165367>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Golz""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Giacomo del Duca""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://schema.org/description>,"""Italian painter, architect, and sculptor""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jacopo Siciliano""@en"

<http://www.wikidata.org/entity/Q1522199>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Giacomo del Duca""@en"

<http://www.wikidata.org/entity/Q1525753>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Giovanni Antonio da Brescia""@en"

<http://www.wikidata.org/entity/Q1525753>,<http://schema.org/description>,"""Italian painter (1460-1523)""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Giovanni Francesco Toscani""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Toscani""@en"

<http://www.wikidata.org/entity/Q1526455>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Giovanni Francesco Toscani""@en"

<http://www.wikidata.org/entity/Q1532355>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meister des Schwarzen Stundenbuches""@en"

<http://www.wikidata.org/entity/Q1532355>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meister des Schwarzen Stundenbuches""@en"

<http://www.wikidata.org/entity/Q107389151>,<http://schema.org/name>,"""Victor""@en"

<http://www.wikidata.org/entity/Q107389151>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Victor""@en"

<http://www.wikidata.org/entity/Q107389151>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Victor""@en"

<http://www.wikidata.org/entity/Q2262257>,<http://schema.org/name>,"""Guido Mazzoni""@en"

<http://www.wikidata.org/entity/Q1559795>,<http://schema.org/name>,"""Marx Wei\u00DF""@en"

<http://www.wikidata.org/entity/Q1559795>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Marx Weiss the younger""@en"

<http://www.wikidata.org/entity/Q1567207>,<http://schema.org/name>,"""Jerg Kugler""@en"

<http://www.wikidata.org/entity/Q1567207>,<http://schema.org/description>,"""German painter (1484-1540)""@en"

<http://www.wikidata.org/entity/Q1567207>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Georg Kugler""@en"

<http://www.wikidata.org/entity/Q2262257>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Guido Mazzoni""@en"

<http://www.wikidata.org/entity/Q2262257>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Guido Mazzoni""@en"

<http://www.wikidata.org/entity/Q1559795>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Marx Wei\u00DF""@en"

<http://www.wikidata.org/entity/Q1559688>,<http://schema.org/name>,"""Heriiemhetep""@en"

<http://www.wikidata.org/entity/Q1559688>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Heriiemhetep""@en"

<http://www.wikidata.org/entity/Q1559688>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Heriiemhetep""@en"

<http://www.wikidata.org/entity/Q1567207>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Jerg Kugler""@en"

<http://www.wikidata.org/entity/Q1567207>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jerg Kugler""@en"

<http://www.wikidata.org/entity/Q7824>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Annibale""@en"

<http://www.wikidata.org/entity/Q94797000>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Georg Beck""@en"

<http://www.wikidata.org/entity/Q2698667>,<http://schema.org/description>,"""Italian painter (1460-1523)""@en"

<http://www.wikidata.org/entity/Q1525753>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Giovanni Antonio da Brescia""@en"

<http://www.wikidata.org/entity/Q18011397>,<http://schema.org/description>,"""Italian painter (1460-1523)""@en"

<http://www.wikidata.org/entity/Q1559795>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Marx Wei\u00DF""@en"

<http://www.wikidata.org/entity/Q52555420>,<http://schema.org/name>,"""Jakob Ziegler""@en"

<http://www.wikidata.org/entity/Q870685>,<http://schema.org/name>,"""Hans Bornemann""@en"

<http://www.wikidata.org/entity/Q870685>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Hans Bornemann""@en"

<http://www.wikidata.org/entity/Q1579632>,<http://schema.org/name>,"""Hans Funk""@en"

<http://www.wikidata.org/entity/Q1579632>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hans, the Elder Funk""@en"

<http://www.wikidata.org/entity/Q1579632>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hans, I Funk""@en"

<http://www.wikidata.org/entity/Q1579632>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hans I Funk""@en"

<http://www.wikidata.org/entity/Q1579636>,<http://schema.org/name>,"""Hans Fyoll""@en"

<http://www.wikidata.org/entity/Q1579636>,<http://schema.org/description>,"""German painter (1460-1531)""@en"

<http://www.wikidata.org/entity/Q322471>,<http://schema.org/name>,"""Hans Hoffmann""@en"

<http://www.wikidata.org/entity/Q1579632>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Hans Funk""@en"

<http://www.wikidata.org/entity/Q1579636>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Hans Fyoll""@en"

<http://www.wikidata.org/entity/Q322471>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Hans Hoffmann""@en"

<http://www.wikidata.org/entity/Q1581905>,<http://schema.org/name>,"""Hans Raphon""@en"

<http://www.wikidata.org/entity/Q1581905>,<http://schema.org/description>,"""German painter (1460-1528)""@en"

<http://www.wikidata.org/entity/Q1581905>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hans Rebhuhn""@en"

<http://www.wikidata.org/entity/Q1581905>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Hans Raphon""@en"

<http://www.wikidata.org/entity/Q1583391>,<http://schema.org/name>,"""Hans von Geismar""@en"

<http://www.wikidata.org/entity/Q1583391>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Hans von Geismar""@en"

<http://www.wikidata.org/entity/Q870685>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Hans Bornemann""@en"

<http://www.wikidata.org/entity/Q1579632>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Hans Funk""@en"

<http://www.wikidata.org/entity/Q1579636>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Hans Fyoll""@en"

<http://www.wikidata.org/entity/Q322471>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Hans Hoffmann""@en"

<http://www.wikidata.org/entity/Q1581905>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Hans Raphon""@en"

<http://www.wikidata.org/entity/Q1581905>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Raphon von Einbeck""@en"

<http://www.wikidata.org/entity/Q20827865>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hans Meyer""@en"

<http://www.wikidata.org/entity/Q52555420>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Jakob Ziegler""@en"

<http://www.wikidata.org/entity/Q52555420>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jakob Ziegler""@en"

<http://www.wikidata.org/entity/Q21403104>,<http://schema.org/name>,"""Nicolaus Kremer""@en"

<http://www.wikidata.org/entity/Q21403104>,<http://schema.org/description>,"""German artist, active 1519-1553""@en"

<http://www.wikidata.org/entity/Q21403104>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Nicolaus Kraemer""@en"

<http://www.wikidata.org/entity/Q619430>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Apollonios""@en"

<http://www.wikidata.org/entity/Q1392893>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Guillermo Sagrera""@en"

<http://www.wikidata.org/entity/Q2459386>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovan Battista Naldini""@en"

<http://www.wikidata.org/entity/Q45818892>,<http://schema.org/description>,"""dutch painter""@en"

<http://www.wikidata.org/entity/Q21403104>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Nicolaus Kremer""@en"

<http://www.wikidata.org/entity/Q21403104>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Nicolaus Kremer""@en"

<http://www.wikidata.org/entity/Q983332>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Baglioni""@en"

<http://www.wikidata.org/entity/Q2706849>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Baglioni""@en"

<http://www.wikidata.org/entity/Q966729>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Pagi""@en"

<http://www.wikidata.org/entity/Q21542943>,<http://schema.org/name>,"""Joes Beyaert""@en"

<http://www.wikidata.org/entity/Q21542943>,<http://schema.org/description>,"""Zuid-Nederlands; beeldhouwer; 1404; Leuven; 1483; Leuven""@en"

<http://www.wikidata.org/entity/Q21542943>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Josse Beyaert""@en"

<http://www.wikidata.org/entity/Q21544314>,<http://schema.org/name>,"""Meester van het altaar van Halepagen""@en"

<http://www.wikidata.org/entity/Q21544314>,<http://schema.org/description>,"""Duits; schilder; beeldhouwer""@en"

<http://www.wikidata.org/entity/Q21545190>,<http://schema.org/name>,"""Gillis Pietersz. Hannuijts""@en"

<http://www.wikidata.org/entity/Q21545190>,<http://schema.org/description>,"""Noord-Nederlands; schilder; 1554; Mechelen; 1609-07; Rotterdam""@en"

<http://www.wikidata.org/entity/Q21545190>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gillis Hannuyts""@en"

<http://www.wikidata.org/entity/Q21545190>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gillis Hannuijts""@en"

<http://www.wikidata.org/entity/Q21545190>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gillis Pietersz. Hannuyts""@en"

<http://www.wikidata.org/entity/Q21548680>,<http://schema.org/name>,"""Nicolao Civitali""@en"

<http://www.wikidata.org/entity/Q1029143>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jacob Cornelisz""@en"

<http://www.wikidata.org/entity/Q29436519>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Guadagnino""@en"

<http://www.wikidata.org/entity/Q1370859>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Sinibaldi""@en"

<http://www.wikidata.org/entity/Q194977>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""della Robbia""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://schema.org/name>,"""Gaspar Rem""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Caspar Rem""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Caspar Rems""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gaspar Rems""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gaspard Rhem""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gaspard Rem""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gaspard Rems""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gaspard Remigius""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Gaspar Rem""@en"

<http://www.wikidata.org/entity/Q21522717>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Gaspar Rem""@en"

<http://www.wikidata.org/entity/Q21542943>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Joes Beyaert""@en"

<http://www.wikidata.org/entity/Q21544314>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Meester van het altaar van Halepagen""@en"

<http://www.wikidata.org/entity/Q21542943>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Joes Beyaert""@en"

<http://www.wikidata.org/entity/Q21544314>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Meester van het altaar van Halepagen""@en"

<http://www.wikidata.org/entity/Q21545190>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Gillis Pietersz. Hannuijts""@en"

<http://www.wikidata.org/entity/Q21545190>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Gillis Pietersz. Hannuijts""@en"

<http://www.wikidata.org/entity/Q21548680>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Nicolao Civitali""@en"

<http://www.wikidata.org/entity/Q21548680>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Nicolao Civitali""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://schema.org/name>,"""Hans Mont""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://schema.org/description>,"""architect, sculptor, painter, draftsman""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hans Monte""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jan Mont""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jan Monte""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Johannes Mont""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Johannes Monte""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovan de Mente""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Johann de Monte""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Hans de Monte""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""hans Mont""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Hans Mont""@en"

<http://www.wikidata.org/entity/Q21559773>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Hans Mont""@en"

<http://www.wikidata.org/entity/Q769372>,<http://schema.org/name>,"""Qiu Ying""@en"

<http://www.wikidata.org/entity/Q769372>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Qiu Ying""@en"

<http://www.wikidata.org/entity/Q769372>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Qiu Ying""@en"

<http://www.wikidata.org/entity/Q3575433>,<http://schema.org/name>,"""Zhou Jichang""@en"

<http://www.wikidata.org/entity/Q3575433>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Zhou Jichang""@en"

<http://www.wikidata.org/entity/Q3575433>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Zhou Jichang""@en"

<http://www.wikidata.org/entity/Q497120>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Li Qixian""@en"

<http://www.wikidata.org/entity/Q104953818>,<http://schema.org/name>,"""Bernaerd van den Putte""@en"

<http://www.wikidata.org/entity/Q104953818>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Bernaerd van den Putte""@en"

<http://www.wikidata.org/entity/Q104953818>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Bernaerd van den Putte""@en"

<http://www.wikidata.org/entity/Q105101758>,<http://www.wikidata.org/prop/direct/P569>,"""1568-04-22T00:00:00Z""^^<http://www.w3.org/2001/XMLSchema#dateTime>"

<http://www.wikidata.org/entity/Q21530918>,<http://schema.org/name>,"""Ramon Sol\u00E0""@en"

<http://www.wikidata.org/entity/Q21530918>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Ramon Sol\u00E0""@en"

<http://www.wikidata.org/entity/Q21530918>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Ramon Sol\u00E0""@en"

<http://www.wikidata.org/entity/Q6769910>,<http://schema.org/name>,"""Wu Zongyuan""@en"

<http://www.wikidata.org/entity/Q6769910>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Wu Zongyuan""@en"

<http://www.wikidata.org/entity/Q6769910>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Wu Zongyuan""@en"

<http://www.wikidata.org/entity/Q6852559>,<http://schema.org/name>,"""Liu Fangping""@en"

<http://www.wikidata.org/entity/Q6852559>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Liu Fangping""@en"

<http://www.wikidata.org/entity/Q6852559>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Liu Fangping""@en"

<http://www.wikidata.org/entity/Q1583391>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Hans von Geismar""@en"

<http://www.wikidata.org/entity/Q105101758>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dani\u00EBl de Ryckere""@en"

<http://www.wikidata.org/entity/Q3322587>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Di Giovanni""@en"

<http://www.wikidata.org/entity/Q7423953>,<http://schema.org/name>,"""Sargis Pitsak""@en"

<http://www.wikidata.org/entity/Q7423953>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Sargis Pitsak""@en"

<http://www.wikidata.org/entity/Q7423953>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Sargis Pitsak""@en"

<http://www.wikidata.org/entity/Q951585>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""hao Yutan""@en"

<http://www.wikidata.org/entity/Q951585>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""zi Shunju""@en"

<http://www.wikidata.org/entity/Q951585>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ch'ien Hs\u00FCan""@en"

<http://www.wikidata.org/entity/Q951585>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Xuan Qian""@en"

<http://www.wikidata.org/entity/Q951585>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ch'ien Shun-chu""@en"

<http://www.wikidata.org/entity/Q951585>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ts'ien Siuan o Qian Xuan""@en"

<http://www.wikidata.org/entity/Q957872>,<http://schema.org/name>,"""Francisco Henriques""@en"

<http://www.wikidata.org/entity/Q957872>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Francisco Anriques""@en"

<http://www.wikidata.org/entity/Q963010>,<http://schema.org/name>,"""Battista di Biagio Sanguigni""@en"

<http://www.wikidata.org/entity/Q963010>,<http://schema.org/description>,"""Italian painter and illuminator (1392-1450)""@en"

<http://www.wikidata.org/entity/Q963010>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Battista di Biagio Sanguini""@en"

<http://www.wikidata.org/entity/Q963010>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of 1419""@en"

<http://www.wikidata.org/entity/Q964154>,<http://schema.org/name>,"""Richard Aertsz""@en"

<http://www.wikidata.org/entity/Q964154>,<http://schema.org/description>,"""painter from the Northern Netherlands (1482-1577)""@en"

<http://www.wikidata.org/entity/Q964154>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Richard Aartsz""@en"

<http://www.wikidata.org/entity/Q966135>,<http://schema.org/description>,"""Italian painter (1315-1375)""@en"

<http://www.wikidata.org/entity/Q966135>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Filippo Vannis""@en"

<http://www.wikidata.org/entity/Q966135>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Lippo Di Vanni""@en"

<http://www.wikidata.org/entity/Q966135>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Lippo di Vanni""@en"

<http://www.wikidata.org/entity/Q7519518>,<http://schema.org/name>,"""Simon Pereyns""@en"

<http://www.wikidata.org/entity/Q7519518>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Sim\u00F3n Pereins""@en"

<http://www.wikidata.org/entity/Q7519518>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Sim\u00F3n Pereyns""@en"

<http://www.wikidata.org/entity/Q7519518>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Simon Pereins""@en"

<http://www.wikidata.org/entity/Q7519518>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Simon Pereyns""@en"

<http://www.wikidata.org/entity/Q7519518>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Simon Pereyns""@en"

<http://www.wikidata.org/entity/Q7615415>,<http://schema.org/description>,"""sculptor and gem engraver from the Netherlands""@en"

<http://www.wikidata.org/entity/Q7615415>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Steven Cornelisz. van Herwijck""@en"

<http://www.wikidata.org/entity/Q7615415>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Stephen of Harwick""@en"

<http://www.wikidata.org/entity/Q7615415>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Stephanus Hollandicus""@en"

<http://www.wikidata.org/entity/Q951585>,<http://schema.org/description>,"""Chinese painter (1235 - 1307)""@en"

<http://www.wikidata.org/entity/Q957872>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Francisco Henriques""@en"

<http://www.wikidata.org/entity/Q957872>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Francisco Henriques""@en"

<http://www.wikidata.org/entity/Q959389>,<http://schema.org/description>,"""Spanish artist (1446\u20131500)""@en"

<http://www.wikidata.org/entity/Q959389>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Antonio del Rin\u0107on""@en"

<http://www.wikidata.org/entity/Q959389>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Antonio Del Rinc\u00F3n""@en"

<http://www.wikidata.org/entity/Q963010>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Battista di Biagio Sanguigni""@en"

<http://www.wikidata.org/entity/Q964154>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Richard Aertsz""@en"

<http://www.wikidata.org/entity/Q963010>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Battista di Biagio Sanguigni""@en"

<http://www.wikidata.org/entity/Q964154>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Richard Aertsz""@en"

<http://www.wikidata.org/entity/Q945799>,<http://schema.org/name>,"""Master of the Virgo inter Virgines""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Virgin among Virgins""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of Virgo inter Virgines""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Meester van de Virgo inter Virgines""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Meester van de Virgo Inter Virgines""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Virgo-meester""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""meister der virgo inter virgines""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master Of The Virgo Inter Virgines""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""virgo unter virgines master""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Master of the Virgo inter Virgines""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Master of the Virgo inter Virgines""@en"

<http://www.wikidata.org/entity/Q945799>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Master of the Virgo Inter Virgines""@en"

<http://www.wikidata.org/entity/Q966288>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Pierre Picart""@en"

<http://www.wikidata.org/entity/Q976391>,<http://schema.org/name>,"""Giovanni Cariani""@en"

<http://www.wikidata.org/entity/Q976391>,<http://schema.org/description>,"""Italian painter (1485-1547)""@en"

