"instance_id","rdf:type","rdfs:label","prov:wasGeneratedBy"
"viewsari:gherardo-of-florence","viewsari:person","Gherardo (of Florence)","viewsari:coreference_reconciliation_run_1"
"viewsari:ghiberti-bartoluccio","viewsari:person","Ghiberti, Bartoluccio","viewsari:coreference_reconciliation_run_1"
"viewsari:ghiberti-bonaccorso","viewsari:person","Ghiberti, Bonaccorso","viewsari:coreference_reconciliation_run_1"
"viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti","viewsari:person","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","viewsari:coreference_reconciliation_run_1"
"viewsari:ghiberti-vittorio","viewsari:person","Ghiberti, Vittorio","viewsari:coreference_reconciliation_run_1"
"viewsari:ghirlandajo-benedetto","viewsari:person","Ghirlandajo, Benedetto","viewsari:coreference_reconciliation_run_1"
"viewsari:ghirlandajo-david","viewsari:person","Ghirlandajo, David","viewsari:coreference_reconciliation_run_1"
"viewsari:ghirlandajo-domenico","viewsari:person","Ghirlandajo, Domenico","viewsari:coreference_reconciliation_run_1"
"viewsari:ghirlandajo-michele-di-ridolfo","viewsari:person","Ghirlandajo, Michele di Ridolfo","viewsari:coreference_reconciliation_run_1"
"viewsari:ghirlandajo-ridolfo","viewsari:person","Ghirlandajo, Ridolfo","viewsari:coreference_reconciliation_run_1"
"viewsari:ghirlandajo-tommaso","viewsari:person","Ghirlandajo, Tommaso","viewsari:coreference_reconciliation_run_1"
"viewsari:giamberti-francesco","viewsari:person","Giamberti, Francesco","viewsari:coreference_reconciliation_run_1"
"viewsari:giocondo-fra","viewsari:person","Giocondo, Fra","viewsari:coreference_reconciliation_run_1"
"viewsari:giorgio-francesco-di","viewsari:person","Giorgio, Francesco di","viewsari:coreference_reconciliation_run_1"
"viewsari:giottino-tommaso-or-maso","viewsari:person","Giottino, Tommaso (or Maso)","viewsari:coreference_reconciliation_run_1"
"viewsari:giotto","viewsari:person","Giotto","viewsari:coreference_reconciliation_run_1"
"viewsari:giovanni-bruno-di","viewsari:person","Giovanni, Bruno di","viewsari:coreference_reconciliation_run_1"
"viewsari:giovanni-the-fleming","viewsari:person","Giovanni (the Fleming)","viewsari:coreference_reconciliation_run_1"
"viewsari:giuntalodi-domenico","viewsari:person","Giuntalodi, Domenico","viewsari:coreference_reconciliation_run_1"
"viewsari:gozzoli-benozzo","viewsari:person","Gozzoli, Benozzo","viewsari:coreference_reconciliation_run_1"
"viewsari:graffione","viewsari:person","Graffione","viewsari:coreference_reconciliation_run_1"
"viewsari:granacci-francesco-il-granaccio","viewsari:person","Granacci, Francesco (Il Granaccio)","viewsari:coreference_reconciliation_run_1"
"viewsari:heemskerk-martin","viewsari:person","Heemskerk, Martin","viewsari:coreference_reconciliation_run_1"
"viewsari:imola-innocenzio-da-innocenzio-francucci","viewsari:person","Imola, Innocenzio da (Innocenzio Francucci)","viewsari:coreference_reconciliation_run_1"
"viewsari:indaco-jacopo-dell","viewsari:person","Indaco, Jacopo dell'","viewsari:coreference_reconciliation_run_1"
"viewsari:jacone-jacopo","viewsari:person","Jacone (Jacopo)","viewsari:coreference_reconciliation_run_1"
"viewsari:jacopo-don","viewsari:person","Jacopo, Don","viewsari:coreference_reconciliation_run_1"
"viewsari:koeck-pieter","viewsari:person","Koeck, Pieter","viewsari:coreference_reconciliation_run_1"
"viewsari:lancia-baldassarre","viewsari:person","Lancia, Baldassarre","viewsari:coreference_reconciliation_run_1"
"viewsari:lancia-pompilio","viewsari:person","Lancia, Pompilio","viewsari:coreference_reconciliation_run_1"
"viewsari:lapo-arnolfo-di-arnolfo-lapi","viewsari:person","Lapo, Arnolfo di (Arnolfo Lapi)","viewsari:coreference_reconciliation_run_1"
"viewsari:lappoli-giovanni-antonio","viewsari:person","Lappoli, Giovanni Antonio","viewsari:coreference_reconciliation_run_1"
"viewsari:lappoli-matteo","viewsari:person","Lappoli, Matteo","viewsari:coreference_reconciliation_run_1"
"viewsari:laurati-pietro-pietro-lorenzetti","viewsari:person","Laurati, Pietro (Pietro Lorenzetti)","viewsari:coreference_reconciliation_run_1"
"viewsari:leyden-lucas-van-lucas-of-holland","viewsari:person","Leyden, Lucas van (Lucas of Holland)","viewsari:coreference_reconciliation_run_1"
"viewsari:liberale","viewsari:person","Liberale","viewsari:coreference_reconciliation_run_1"
"viewsari:liberale-gensio","viewsari:person","Liberale, Gensio","viewsari:coreference_reconciliation_run_1"
"viewsari:libri-francesco-dai-the-elder","viewsari:person","Libri, Francesco dai (the elder)","viewsari:coreference_reconciliation_run_1"
"viewsari:libri-francesco-dai-the-younger","viewsari:person","Libri, Francesco dai (the younger)","viewsari:coreference_reconciliation_run_1"
"viewsari:libri-girolamo-dai","viewsari:person","Libri, Girolamo dai","viewsari:coreference_reconciliation_run_1"
"viewsari:licinio-giovanni-antonio-cuticello-or-pordenone","viewsari:person","Licinio, Giovanni Antonio (Cuticello, or Pordenone)","viewsari:coreference_reconciliation_run_1"
"viewsari:liefrinck-hans","viewsari:person","Liefrinck, Hans","viewsari:coreference_reconciliation_run_1"
"viewsari:ligorio-pirro","viewsari:person","Ligorio, Pirro","viewsari:coreference_reconciliation_run_1"
"viewsari:linaiuolo-berto","viewsari:person","Linaiuolo, Berto","viewsari:coreference_reconciliation_run_1"
"viewsari:lioni-pompeo","viewsari:person","Lioni, Pompeo","viewsari:coreference_reconciliation_run_1"
"viewsari:lippi-filippo-filippino","viewsari:person","Lippi, Filippo (Filippino)","viewsari:coreference_reconciliation_run_1"
"viewsari:lippi-fra-filippo","viewsari:person","Lippi, Fra Filippo","viewsari:coreference_reconciliation_run_1"
"viewsari:lippo","viewsari:person","Lippo","viewsari:coreference_reconciliation_run_1"
"viewsari:lombard-lambert-lambert-of-amsterdam","viewsari:person","Lombard, Lambert (Lambert of Amsterdam)","viewsari:coreference_reconciliation_run_1"
"viewsari:lombardi-alfonso","viewsari:person","Lombardi, Alfonso","viewsari:coreference_reconciliation_run_1"
