x,p_x,y,p_y,p_yx,pmi_yx,pages,paragraphs,volume
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,"San Marco, Fra Bartolommeo di (Baccio della Porta)",0.003472222222222222,0.023255813953488372,2.7436602467402147,[215],['292'],['3']
"Buonarroti, Michelagnolo",0.020833333333333332,"Urbino, Bramante da",0.027777777777777776,0.16666666666666666,2.584962500721156,"[145, 223]","['189', '303']","['3', '3']"
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)",0.027777777777777776,"Lippi, Filippo (Filippino)",0.010416666666666666,0.0625,2.584962500721156,[44],['47'],['3']
"Urbino, Bramante da",0.027777777777777776,"Marcilla, Guglielmo da (Guillaume de Marcillac)",0.010416666666666666,0.0625,2.584962500721156,[254],['351'],['3']
Giotto,0.057291666666666664,"Cavallini, Pietro",0.005208333333333333,0.030303030303030304,2.5405683813627027,[162],['315'],['0']
Giotto,0.057291666666666664,"Pisano, Andrea",0.010416666666666666,0.06060606060606061,2.5405683813627027,"[124, 126]","['266', '267']","['0', '0']"
"Buonarroti, Michelagnolo",0.020833333333333332,"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,0.4166666666666667,2.480625840906421,"[242, 223, 201, 245, 244]","['337', '303', '271', '339', '338']","['3', '3', '3', '3', '3']"
"San Gallo, Giuliano da",0.024305555555555556,"Urbino, Bramante da",0.027777777777777776,0.14285714285714285,2.3625700793847084,"[145, 200]","['189', '268']","['3', '3']"
"Pisano, Andrea",0.010416666666666666,"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,0.16666666666666666,2.3370349872775704,[154],['174'],['1']
"Buonarroti, Michelagnolo",0.020833333333333332,"Vinci, Leonardo da",0.034722222222222224,0.16666666666666666,2.263034405833794,"[242, 104]","['337', '133']","['3', '3']"
"Vinci, Leonardo da",0.034722222222222224,"Lippi, Filippo (Filippino)",0.010416666666666666,0.049999999999999996,2.263034405833794,[100],['127'],['3']
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",0.05555555555555555,"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.03298611111111111,0.15625000000000003,2.2439255828860896,"[215, 214, 217, 201, 86]","['241', '240', '242', '228', '91']","['1', '1', '1', '1', '1']"
Donato (Donatello),0.04861111111111111,"Uccello, Paolo",0.015625,0.07142857142857142,2.192645077942396,"[139, 140]","['152', '154']","['1', '1']"
"Gaddi, Taddeo",0.013888888888888888,Giotto,0.057291666666666664,0.25,2.125530882083859,"[185, 186]","['361', '364']","['0', '0']"
Donato (Donatello),0.04861111111111111,"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",0.05555555555555555,0.21428571428571427,1.9475325801058647,"[203, 241, 204, 200, 201, 243]","['230', '269', '231', '227', '228', '270']","['1', '1', '1', '1', '1', '1']"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",0.05555555555555555,"Maiano, Giuliano da",0.008680555555555556,0.03125,1.84799690655495,[12],['16'],['2']
"Vinci, Leonardo da",0.034722222222222224,"Cosimo, Piero di",0.013888888888888888,0.049999999999999996,1.84799690655495,[127],['161'],['3']
"Gaddi, Agnolo",0.008680555555555556,Giotto,0.057291666666666664,0.19999999999999998,1.8036027871964966,[222],['412'],['0']
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,"Urbino, Bramante da",0.027777777777777776,0.09302325581395349,1.7436602467402147,"[232, 143, 223, 237]","['319', '186', '303', '328']","['3', '3', '3', '3']"
"Sanzio, Raffaello (Raffaello da Urbino)",0.07465277777777778,"Francia, Francesco",0.006944444444444444,0.023255813953488372,1.7436602467402147,[29],['28'],['3']
