artist1,artist2,dice_coefficient,pages,paragraphs,volume
"Buonarroti, Michelagnolo","Sanzio, Raffaello (Raffaello da Urbino)",0.13559322033898305,"[242, 223, 201, 245, 244, 175, 177, 236]","['337', '303', '271', '339', '338', '279', '281', '355']","['3', '3', '3', '3', '3', '5', '5', '5']"
"Cronaca, Il (Simone del Pollaiuolo)","Lippi, Filippo (Filippino)",0.13333333333333333,[66],['114'],['5']
"Buonarroti, Michelagnolo","Bandinelli, Baccio (Baccio de' Brandini)",0.13043478260869565,"[111, 67, 58, 72, 68, 99]","['190', '82', '70', '89', '84', '125']","['5', '6', '6', '6', '6', '6']"
Donato (Donatello),"Banco, Nanni d' Antonio di",0.12903225806451613,"[114, 115]","['121', '122']","['1', '1']"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",Donato (Donatello),0.125,"[147, 201, 270]","['162', '228', '401']","['1', '1', '2']"
"Ghirlandajo, Domenico",Gherardo (of Florence),0.125,[213],['316'],['2']
"Bellini, Giovanni","Vecelli, Tiziano (Tiziano da Cadore)",0.125,[183],['265'],['2']
"Bellini, Giovanni","Castelfranco, Giorgione da",0.125,[173],['277'],['5']
Liberale,"Giocondo, Fra",0.125,[11],['16'],['5']
"Beccafumi, Domenico (Domenico di Pace)","Bazzi, Giovanni Antonio (Il Sodoma)",0.125,[237],['356'],['5']
"Vinci, Leonardo da","Credi, Lorenzo di",0.12121212121212122,"[50, 49]","['63', '61']","['4', '4']"
Tribolo (Niccolï¿½),"Tasso, Battista del",0.12121212121212122,"[30, 35]","['37', '40']","['6', '6']"
"Buffalmacco, Buonamico","Orcagna, Andrea di Cione",0.11764705882352941,[191],['371'],['0']
"Uccello, Paolo",Masaccio,0.11764705882352941,[184],['209'],['1']
"Ghirlandajo, Domenico","Granacci, Francesco (Il Granaccio)",0.11764705882352941,[58],['102'],['5']
"Contucci, Andrea (Andrea Sansovino)","Montelupo, Raffaello da",0.11764705882352941,[43],['53'],['4']
