"instance_id","rdf:type","rdf_type_2","rdfs:label","frbr:is part of","frbr:has embodiment","rdfs:seeAlso","start_page","vol","level"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_montorsoli-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Fra Giovanni Agnolo Montorsoli (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_167","167","6","manifestation"
"viewsari:the_lives_1568_volume-6_salviati-bio","viewsari:biography","fabio:Expression","Life of Francesco de' Rossi Salviati","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_salviati-bio","","191","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_salviati-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Francesco de' Rossi Salviati (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_191","191","6","manifestation"
"viewsari:the_lives_1568_volume-6_daniello-ricciarelli-bio","viewsari:biography","fabio:Expression","Life of Daniello Ricciarelli","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_daniello-ricciarelli-bio","","245","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_daniello-ricciarelli-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Daniello Ricciarelli (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_245","245","6","manifestation"
"viewsari:the_lives_1568_volume-6_taddeo-zuccaro-bio","viewsari:biography","fabio:Expression","Life of Taddeo Zuccaro","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_taddeo-zuccaro-bio","","259","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_taddeo-zuccaro-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Taddeo Zuccaro (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_259","259","6","manifestation"
"viewsari:the_lives_1568_volume-6_vasari-bio","viewsari:biography","fabio:Expression","Life of Giorgio Vasari","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_vasari-bio","","277","6","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_vasari-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Giorgio Vasari (Volume 6)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6","","https://www.gutenberg.org/files/28422/28422-h/28422-h.htm#Page_277","277","6","manifestation"
"viewsari:the_lives_1568_volume-6_beccafumi-bio","viewsari:biography","fabio:Expression","Life of Domenico Beccafumi","viewsari:the_lives_1568_volume-6","viewsari:the_lives_1568_gutenberg_web_version_of_volume-6_beccafumi-bio","","373","6","expression"
