instance_id,n_distinct_pairs,n_distinct_persons,involves,involves_2,label
viewsari:cooccurrence_lip-mas_1,2,3,viewsari:lippi-filippo-filippino,viewsari:masaccio,"Co-occurrence of Lippi, Filippo (Filippino) and Masaccio, Vol. 4, Para. 2"
viewsari:cooccurrence_lip-mas_1,2,3,viewsari:lippi-fra-filippo,viewsari:masaccio,"Co-occurrence of Lippi, Fra Filippo and Masaccio, Vol. 4, Para. 2"
viewsari:cooccurrence_mar-san_1,2,3,viewsari:marchissi-antonio-di-giorgio,viewsari:san-gallo-giuliano-da,"Co-occurrence of Marchissi, Antonio di Giorgio and San Gallo, Giuliano da, Vol. 6, Para. 211"
viewsari:cooccurrence_mar-san_1,2,3,viewsari:marchissi-antonio-di-giorgio,viewsari:sanzio-raffaello-raffaello-da-urbino,"Co-occurrence of Marchissi, Antonio di Giorgio and Sanzio, Raffaello (Raffaello da Urbino), Vol. 6, Para. 211"
viewsari:cooccurrence_maz-rom_1,2,3,viewsari:mazzuoli-francesco-parmigiano,viewsari:romano-giulio-giulio-pippi-de-giannuzzi,"Co-occurrence of Mazzuoli, Francesco (Parmigiano) and Romano, Giulio (Giulio Pippi de' Giannuzzi), Vol. 8, Para. 54"
viewsari:cooccurrence_maz-rom_1,2,3,viewsari:mazzuoli-girolamo,viewsari:romano-giulio-giulio-pippi-de-giannuzzi,"Co-occurrence of Mazzuoli, Girolamo and Romano, Giulio (Giulio Pippi de' Giannuzzi), Vol. 8, Para. 54"
viewsari:cooccurrence_orc-orc_1,2,3,viewsari:orcagna-andrea-di-cione,viewsari:orcagna-bernardo-di-cione,"Co-occurrence of Orcagna, Andrea di Cione and Orcagna, Bernardo di Cione, Vol. 1, Para. 250"
viewsari:cooccurrence_orc-orc_1,2,3,viewsari:orcagna-andrea-di-cione,viewsari:orcagna-jacopo-di-cione,"Co-occurrence of Orcagna, Andrea di Cione and Orcagna, Jacopo di Cione, Vol. 1, Para. 257"
viewsari:cooccurrence_pal-zuc_1,2,3,viewsari:palladio-andrea,viewsari:zucchero-federigo,"Co-occurrence of Palladio, Andrea and Zucchero, Federigo, Vol. 8, Para. 310"
viewsari:cooccurrence_pal-zuc_1,2,3,viewsari:palladio-andrea,viewsari:zucchero-taddeo,"Co-occurrence of Palladio, Andrea and Zucchero, Taddeo, Vol. 8, Para. 310"
