instance_id,rdf:type,oa:start,oa:end
viewsari:position-selector_25204,doco:TextPositionSelector,659,680
viewsari:position-selector_25205,doco:TextPositionSelector,408,418
viewsari:position-selector_25206,doco:TextPositionSelector,1579,1589
viewsari:position-selector_25207,doco:TextPositionSelector,1472,1492
viewsari:position-selector_25208,doco:TextPositionSelector,1224,1238
viewsari:position-selector_25209,doco:TextPositionSelector,572,625
viewsari:position-selector_25210,doco:TextPositionSelector,697,781
viewsari:position-selector_25211,doco:TextPositionSelector,799,819
viewsari:position-selector_25212,doco:TextPositionSelector,1067,1083
viewsari:position-selector_25213,doco:TextPositionSelector,46,65
viewsari:position-selector_25214,doco:TextPositionSelector,705,719
viewsari:position-selector_25215,doco:TextPositionSelector,442,461
viewsari:position-selector_25216,doco:TextPositionSelector,1021,1037
viewsari:position-selector_25217,doco:TextPositionSelector,2311,2344
viewsari:position-selector_25218,doco:TextPositionSelector,2311,2344
viewsari:position-selector_25219,doco:TextPositionSelector,2277,2344
viewsari:position-selector_25220,doco:TextPositionSelector,2277,2344
viewsari:position-selector_25221,doco:TextPositionSelector,51,76
viewsari:position-selector_25222,doco:TextPositionSelector,298,404
viewsari:position-selector_25223,doco:TextPositionSelector,298,831
viewsari:position-selector_25224,doco:TextPositionSelector,487,508
viewsari:position-selector_25225,doco:TextPositionSelector,860,1102
viewsari:position-selector_25226,doco:TextPositionSelector,1026,1046
viewsari:position-selector_25227,doco:TextPositionSelector,276,287
viewsari:position-selector_25228,doco:TextPositionSelector,1,28
viewsari:position-selector_25229,doco:TextPositionSelector,1,28
viewsari:position-selector_25230,doco:TextPositionSelector,1151,1167
viewsari:position-selector_25231,doco:TextPositionSelector,145,184
viewsari:position-selector_25232,doco:TextPositionSelector,145,184
viewsari:position-selector_25233,doco:TextPositionSelector,679,761
viewsari:position-selector_25234,doco:TextPositionSelector,679,761
viewsari:position-selector_25235,doco:TextPositionSelector,26,41
viewsari:position-selector_25236,doco:TextPositionSelector,331,365
viewsari:position-selector_25237,doco:TextPositionSelector,331,365
viewsari:position-selector_25238,doco:TextPositionSelector,153,176
viewsari:position-selector_25239,doco:TextPositionSelector,1693,1717
viewsari:position-selector_25240,doco:TextPositionSelector,1029,1060
viewsari:position-selector_25241,doco:TextPositionSelector,992,1018
viewsari:position-selector_25242,doco:TextPositionSelector,242,301
viewsari:position-selector_25243,doco:TextPositionSelector,736,778
viewsari:position-selector_25244,doco:TextPositionSelector,156,301
viewsari:position-selector_25245,doco:TextPositionSelector,865,908
viewsari:position-selector_25246,doco:TextPositionSelector,328,396
viewsari:position-selector_25247,doco:TextPositionSelector,328,449
viewsari:position-selector_25248,doco:TextPositionSelector,328,449
viewsari:position-selector_25249,doco:TextPositionSelector,378,396
viewsari:position-selector_25250,doco:TextPositionSelector,1674,1691
viewsari:position-selector_25251,doco:TextPositionSelector,1674,1691
viewsari:position-selector_25252,doco:TextPositionSelector,391,449
viewsari:position-selector_25253,doco:TextPositionSelector,391,449
viewsari:position-selector_25254,doco:TextPositionSelector,1064,1075
viewsari:position-selector_25255,doco:TextPositionSelector,1115,1691
viewsari:position-selector_25256,doco:TextPositionSelector,1115,1691
viewsari:position-selector_25257,doco:TextPositionSelector,656,663
viewsari:position-selector_25258,doco:TextPositionSelector,476,513
viewsari:position-selector_25259,doco:TextPositionSelector,442,504
viewsari:position-selector_25260,doco:TextPositionSelector,928,992
viewsari:position-selector_25261,doco:TextPositionSelector,442,685
viewsari:position-selector_25262,doco:TextPositionSelector,239,251
viewsari:position-selector_25263,doco:TextPositionSelector,1029,1112
viewsari:position-selector_25264,doco:TextPositionSelector,78,358
viewsari:position-selector_25265,doco:TextPositionSelector,733,768
viewsari:position-selector_25266,doco:TextPositionSelector,824,841
viewsari:position-selector_25267,doco:TextPositionSelector,824,841
viewsari:position-selector_25268,doco:TextPositionSelector,160,170
viewsari:position-selector_25269,doco:TextPositionSelector,832,886
viewsari:position-selector_25270,doco:TextPositionSelector,568,606
viewsari:position-selector_25271,doco:TextPositionSelector,272,289
viewsari:position-selector_25272,doco:TextPositionSelector,533,816
viewsari:position-selector_25273,doco:TextPositionSelector,533,570
viewsari:position-selector_25274,doco:TextPositionSelector,833,843
viewsari:position-selector_25275,doco:TextPositionSelector,1435,1501
viewsari:position-selector_25276,doco:TextPositionSelector,560,816
viewsari:position-selector_25277,doco:TextPositionSelector,464,507
viewsari:position-selector_25278,doco:TextPositionSelector,509,540
viewsari:position-selector_25279,doco:TextPositionSelector,653,664
viewsari:position-selector_25280,doco:TextPositionSelector,1120,1135
viewsari:position-selector_25281,doco:TextPositionSelector,54,302
viewsari:position-selector_25282,doco:TextPositionSelector,593,621
viewsari:position-selector_25283,doco:TextPositionSelector,245,277
